online_order,book_table,rating,votes,location,cost_for_two,type,city,restaurant_type,cuisines,number_of_cuisines_offered
No,No,3.7,21,Banashankari,250,Delivery,Banashankari,Quick Bites,Biryani,1
No,No,3.2,9,Banashankari,300,Delivery,Banashankari,Dessert Parlor,Ice Cream,1
No,No,2.6,283,Banashankari,600,Delivery,Banashankari,Casual Dining,North Indian,1
No,No,3.3,62,Banashankari,800,Delivery,Banashankari,Bar,South Indian,3
No,No,3.8,64,Banashankari,250,Delivery,Banashankari,Quick Bites,Fast Food,2
No,No,3.7,39,Banashankari,950,Delivery,Banashankari,Casual Dining,North Indian,2
No,No,3.7,65,Banashankari,300,Delivery,Banashankari,Quick Bites,Fast Food,2
Yes,No,3.8,71,Other,400,Delivery,Banashankari,Dessert Parlor,Ice Cream,4
No,No,3.0,52,Banashankari,300,Delivery,Banashankari,Quick Bites,South Indian,1
No,No,3.7,130,Banashankari,200,Delivery,Banashankari,Quick Bites,South Indian,1
No,No,3.0,10,Banashankari,300,Delivery,Banashankari,Quick Bites,South Indian,2
No,No,3.8,45,Banashankari,400,Delivery,Banashankari,Takeaway,Bakery,1
No,No,3.2,11,Banashankari,600,Delivery,Banashankari,Cafe,Cafe,2
No,No,3.0,13,Banashankari,300,Delivery,Banashankari,Bakery,Bakery,2
No,No,3.4,8,Banashankari,300,Delivery,Banashankari,Quick Bites,Biryani,4
No,No,3.2,9,Banashankari,300,Delivery,Banashankari,Quick Bites,Biryani,1
No,No,3.2,4,Banashankari,300,Delivery,Banashankari,Quick Bites,North Indian,1
No,No,3.1,29,Banashankari,150,Delivery,Banashankari,Quick Bites,North Indian,1
No,No,3.4,8,Banashankari,400,Delivery,Banashankari,Bakery,Bakery,2
No,No,3.1,30,Banashankari,1000,Delivery,Banashankari,Bar,Chinese,2
Yes,No,4.1,201,Banashankari,300,Delivery,Banashankari,Quick Bites,South Indian,4
No,No,3.3,7,Banashankari,200,Delivery,Banashankari,Quick Bites,Other,3
No,No,3.1,6,Banashankari,100,Delivery,Banashankari,Quick Bites,Fast Food,2
No,No,3.3,17,Banashankari,200,Delivery,Banashankari,Quick Bites,Street Food,2
No,No,2.9,25,Banashankari,200,Delivery,Banashankari,Dessert Parlor,Ice Cream,2
No,No,3.3,8,Banashankari,100,Delivery,Banashankari,Delivery,South Indian,1
Yes,No,4.0,771,Banashankari,450,Delivery,Banashankari,Casual Dining,South Indian,3
No,No,3.0,98,Banashankari,800,Delivery,Banashankari,Bar,North Indian,2
Yes,No,3.9,47,Other,200,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,Yes,4.1,175,Jayanagar,500,Delivery,Banashankari,Casual Dining,South Indian,4
Yes,No,3.8,58,Banashankari,300,Delivery,Banashankari,Quick Bites,South Indian,4
Yes,No,3.8,540,Other,650,Delivery,Banashankari,Casual Dining,North Indian,4
Yes,No,3.8,124,Other,400,Delivery,Banashankari,Quick Bites,Chinese,4
Yes,No,4.1,340,Banashankari,500,Delivery,Banashankari,Takeaway,North Indian,3
Yes,No,3.8,505,Banashankari,450,Delivery,Banashankari,Quick Bites,Other,2
Yes,No,4.1,438,Jayanagar,500,Delivery,Banashankari,Dessert Parlor,Desserts,5
Yes,No,3.7,264,Other,750,Delivery,Banashankari,Casual Dining,North Indian,4
Yes,No,3.9,169,Other,150,Delivery,Banashankari,Beverage Shop,Beverages,3
Yes,No,3.0,67,Other,250,Delivery,Banashankari,Quick Bites,North Indian,2
Yes,No,3.7,97,Jayanagar,350,Delivery,Banashankari,Quick Bites,North Indian,3
Yes,No,3.3,12,Other,300,Delivery,Banashankari,Takeaway,Biryani,1
Yes,No,3.3,12,Banashankari,300,Delivery,Banashankari,Quick Bites,Biryani,1
Yes,No,3.6,195,Jayanagar,800,Delivery,Banashankari,Casual Dining,Chinese,3
Yes,No,3.3,13,Other,300,Delivery,Banashankari,Dessert Parlor,Desserts,2
Yes,No,4.6,228,Jayanagar,400,Delivery,Banashankari,Cafe,Cafe,2
Yes,No,4.1,70,Other,150,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,Yes,4.1,364,Jayanagar,1200,Delivery,Banashankari,Casual Dining,Other,4
Yes,No,3.7,107,Other,150,Delivery,Banashankari,Beverage Shop,Beverages,2
Yes,No,3.2,167,Other,300,Delivery,Banashankari,Quick Bites,South Indian,4
Yes,No,4.0,115,Banashankari,400,Delivery,Banashankari,Other,Other,2
Yes,No,3.7,27,Banashankari,400,Delivery,Banashankari,Takeaway,Other,2
Yes,No,3.0,57,Banashankari,200,Delivery,Banashankari,Quick Bites,Biryani,1
Yes,No,3.8,120,Banashankari,250,Delivery,Banashankari,Quick Bites,North Indian,3
Yes,No,3.8,15,Other,400,Delivery,Banashankari,Bakery,Bakery,1
Yes,No,4.2,64,Other,500,Delivery,Banashankari,Quick Bites,Other,7
Yes,No,3.6,66,Banashankari,150,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.0,290,Banashankari,450,Delivery,Banashankari,Quick Bites,North Indian,4
Yes,No,4.1,233,Other,200,Delivery,Banashankari,Quick Bites,Street Food,1
Yes,No,3.8,115,Other,250,Delivery,Banashankari,Quick Bites,Fast Food,2
Yes,No,3.1,119,Banashankari,700,Delivery,Banashankari,Casual Dining,Biryani,4
Yes,Yes,3.9,291,Jayanagar,650,Delivery,Banashankari,Cafe,Cafe,5
Yes,No,4.0,155,Jayanagar,300,Delivery,Banashankari,Beverage Shop,Beverages,2
Yes,No,4.1,305,Other,700,Delivery,Banashankari,Casual Dining,Other,1
Yes,No,3.6,46,Banashankari,500,Delivery,Banashankari,Quick Bites,Fast Food,3
Yes,No,3.0,45,Other,350,Delivery,Banashankari,Quick Bites,Other,3
Yes,No,3.9,38,Banashankari,150,Delivery,Banashankari,Dessert Parlor,Ice Cream,1
Yes,No,3.9,441,Banashankari,400,Delivery,Banashankari,Quick Bites,South Indian,4
Yes,No,3.9,25,Other,100,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,4.3,630,Jayanagar,200,Delivery,Banashankari,Quick Bites,North Indian,3
Yes,No,3.8,25,Other,150,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.9,160,Other,300,Delivery,Banashankari,Quick Bites,Other,1
Yes,No,4.2,287,Banashankari,350,Delivery,Banashankari,Quick Bites,North Indian,1
Yes,No,3.6,11,Other,100,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,4.1,402,Banashankari,500,Delivery,Banashankari,Cafe,Cafe,1
Yes,No,3.8,469,Other,750,Delivery,Banashankari,Casual Dining,North Indian,3
Yes,No,3.3,511,Other,550,Delivery,Banashankari,Casual Dining,Other,8
Yes,No,3.9,57,Banashankari,200,Delivery,Banashankari,Quick Bites,South Indian,4
Yes,No,3.4,14,Banashankari,300,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.9,264,Banashankari,200,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.0,62,Banashankari,400,Delivery,Banashankari,Cafe,Cafe,3
Yes,No,3.8,693,Banashankari,750,Delivery,Banashankari,Casual Dining,Other,2
Yes,No,3.8,242,Jayanagar,650,Delivery,Banashankari,Casual Dining,Other,4
Yes,No,3.6,27,Other,250,Delivery,Banashankari,Dessert Parlor,Fast Food,1
Yes,No,4.1,163,Other,500,Delivery,Banashankari,Quick Bites,Continental,4
Yes,No,4.2,191,Other,250,Delivery,Banashankari,Quick Bites,Street Food,2
Yes,No,3.0,32,Banashankari,150,Delivery,Banashankari,Quick Bites,Other,4
Yes,No,2.0,247,Banashankari,500,Delivery,Banashankari,Casual Dining,North Indian,1
Yes,Yes,4.1,2339,Jayanagar,1500,Delivery,Banashankari,Casual Dining,North Indian,3
Yes,No,4.1,337,Jayanagar,300,Delivery,Banashankari,Quick Bites,Chinese,2
Yes,No,3.9,135,Banashankari,800,Delivery,Banashankari,Casual Dining,North Indian,3
Yes,No,3.6,172,Other,700,Delivery,Banashankari,Casual Dining,North Indian,2
Yes,No,3.6,105,Banashankari,700,Delivery,Banashankari,Casual Dining,Other,1
Yes,No,4.2,504,Banashankari,550,Delivery,Banashankari,Cafe,Cafe,5
Yes,No,3.2,36,Other,200,Delivery,Banashankari,Quick Bites,Fast Food,2
Yes,No,3.1,39,Other,300,Delivery,Banashankari,Quick Bites,North Indian,1
Yes,No,3.1,5,Other,500,Delivery,Banashankari,Casual Dining,North Indian,4
Yes,Yes,4.3,1129,Jayanagar,1300,Delivery,Banashankari,Casual Dining,Other,2
Yes,No,3.9,56,Other,350,Delivery,Banashankari,Quick Bites,North Indian,2
Yes,No,4.3,860,Banashankari,500,Delivery,Banashankari,Dessert Parlor,Desserts,2
Yes,No,3.8,412,Jayanagar,700,Delivery,Banashankari,Casual Dining,Andhra,4
Yes,Yes,3.9,142,Jayanagar,1000,Delivery,Banashankari,Casual Dining,Other,3
Yes,No,3.0,23,Jayanagar,400,Delivery,Banashankari,Quick Bites,Andhra,1
Yes,No,3.6,143,Jayanagar,750,Delivery,Banashankari,Casual Dining,South Indian,4
Yes,Yes,2.8,80,Jayanagar,500,Delivery,Banashankari,Casual Dining,South Indian,6
Yes,No,3.6,16,JP Nagar,400,Delivery,Banashankari,Casual Dining,South Indian,1
Yes,No,4.4,181,Jayanagar,250,Delivery,Banashankari,Beverage Shop,Beverages,2
Yes,No,3.8,70,Jayanagar,200,Delivery,Banashankari,Quick Bites,North Indian,2
Yes,No,3.8,164,Other,600,Delivery,Banashankari,Quick Bites,Other,2
Yes,No,3.6,58,Other,650,Delivery,Banashankari,Quick Bites,Cafe,3
No,No,3.8,148,Other,550,Delivery,Banashankari,Casual Dining,North Indian,4
No,No,3.9,206,Other,450,Delivery,Banashankari,Quick Bites,South Indian,2
No,No,3.6,16,Other,300,Delivery,Banashankari,Quick Bites,South Indian,1
No,No,3.7,217,Other,450,Delivery,Banashankari,Casual Dining,North Indian,5
No,No,3.6,46,Other,450,Delivery,Banashankari,Quick Bites,Andhra,4
No,No,3.8,148,Other,150,Delivery,Banashankari,Quick Bites,Fast Food,2
No,No,3.4,30,Other,250,Delivery,Banashankari,Dessert Parlor,Desserts,1
No,No,3.6,8,Other,800,Delivery,Banashankari,Casual Dining,North Indian,4
No,No,3.3,4,Jayanagar,250,Delivery,Banashankari,Quick Bites,South Indian,1
No,No,3.0,15,Other,400,Delivery,Banashankari,Bakery,Bakery,1
Yes,No,3.4,9,Other,200,Delivery,Banashankari,Quick Bites,Street Food,1
Yes,No,3.7,31,Other,300,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,No,2.9,177,Jayanagar,700,Delivery,Banashankari,Casual Dining,North Indian,5
Yes,No,3.7,22,Other,250,Delivery,Banashankari,Other,Other,2
Yes,No,3.0,10,Other,100,Delivery,Banashankari,Beverage Shop,Other,2
Yes,No,3.7,136,Banashankari,600,Delivery,Banashankari,Quick Bites,Other,2
Yes,No,2.9,35,Other,250,Delivery,Banashankari,Quick Bites,North Indian,2
Yes,No,4.1,185,Jayanagar,200,Delivery,Banashankari,Quick Bites,Other,2
Yes,No,3.2,17,Jayanagar,900,Delivery,Banashankari,Cafe,Cafe,2
Yes,No,3.8,155,Other,400,Delivery,Banashankari,Casual Dining,South Indian,4
Yes,No,3.8,42,Banashankari,300,Delivery,Banashankari,Quick Bites,South Indian,3
Yes,No,3.8,286,Other,600,Delivery,Banashankari,Casual Dining,North Indian,1
Yes,No,3.8,160,Banashankari,700,Delivery,Banashankari,Casual Dining,North Indian,2
Yes,No,3.8,59,Banashankari,750,Delivery,Banashankari,Casual Dining,North Indian,2
Yes,No,3.0,90,Jayanagar,500,Delivery,Banashankari,Casual Dining,Other,5
Yes,No,3.7,51,Other,350,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,No,4.0,89,Jayanagar,200,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,No,3.6,18,Banashankari,250,Delivery,Banashankari,Quick Bites,Fast Food,2
Yes,No,3.9,40,Other,600,Delivery,Banashankari,Casual Dining,North Indian,4
Yes,No,2.0,35,Other,200,Delivery,Banashankari,Quick Bites,Fast Food,1
Yes,No,3.4,89,Jayanagar,250,Delivery,Banashankari,Quick Bites,North Indian,3
Yes,No,3.2,11,Other,150,Delivery,Banashankari,Quick Bites,Beverages,2
Yes,No,3.6,62,Banashankari,600,Delivery,Banashankari,Quick Bites,Other,4
Yes,No,3.9,33,Jayanagar,300,Delivery,Banashankari,Dessert Parlor,Desserts,1
Yes,No,3.8,32,Jayanagar,250,Delivery,Banashankari,Other,Desserts,2
Yes,No,4.1,139,Jayanagar,550,Delivery,Banashankari,Casual Dining,North Indian,3
Yes,No,3.2,154,Other,300,Delivery,Banashankari,Quick Bites,Fast Food,1
Yes,No,3.6,14,Banashankari,350,Delivery,Banashankari,Bakery,Bakery,2
Yes,No,3.7,237,Banashankari,200,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,No,3.9,388,Banashankari,650,Delivery,Banashankari,Casual Dining,Biryani,4
Yes,No,3.9,128,Other,500,Delivery,Banashankari,Casual Dining,South Indian,4
Yes,Yes,4.1,1875,Jayanagar,1200,Delivery,Banashankari,Casual Dining,North Indian,3
Yes,No,3.8,90,Banashankari,650,Delivery,Banashankari,Cafe,Cafe,1
Yes,No,3.1,7,Other,250,Delivery,Banashankari,Quick Bites,Other,3
Yes,No,3.7,38,Other,400,Delivery,Banashankari,Casual Dining,South Indian,2
Yes,No,4.2,179,Banashankari,600,Delivery,Banashankari,Delivery,Other,1
Yes,No,4.0,43,Other,250,Delivery,Banashankari,Dessert Parlor,Desserts,2
Yes,No,4.3,275,Other,100,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.7,323,Jayanagar,850,Delivery,Banashankari,Casual Dining,Chinese,3
Yes,No,3.1,28,Other,400,Delivery,Banashankari,Casual Dining,South Indian,3
Yes,No,3.9,18,Other,200,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,No,3.3,6,Other,100,Delivery,Banashankari,Quick Bites,Street Food,2
Yes,No,4.3,322,Jayanagar,400,Delivery,Banashankari,Casual Dining,South Indian,1
Yes,No,2.6,157,Jayanagar,450,Delivery,Banashankari,Cafe,Cafe,3
Yes,No,3.9,543,Other,300,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,No,3.7,180,Banashankari,500,Delivery,Banashankari,Cafe,Cafe,4
Yes,No,4.2,444,Other,100,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.9,134,Jayanagar,400,Delivery,Banashankari,Quick Bites,Street Food,3
Yes,No,3.8,577,Jayanagar,900,Delivery,Banashankari,Casual Dining,North Indian,4
Yes,No,4.2,60,Banashankari,200,Delivery,Banashankari,Quick Bites,South Indian,4
Yes,No,3.9,144,Jayanagar,550,Delivery,Banashankari,Casual Dining,North Indian,3
Yes,No,4.1,787,Banashankari,800,Delivery,Banashankari,Casual Dining,Chinese,3
Yes,No,3.6,16,Other,200,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.6,84,Banashankari,250,Delivery,Banashankari,Quick Bites,South Indian,3
Yes,No,3.6,95,Banashankari,150,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,Yes,4.0,349,Banashankari,1200,Delivery,Banashankari,Casual Dining,Other,6
Yes,No,3.7,248,Other,400,Delivery,Banashankari,Quick Bites,North Indian,2
Yes,No,4.1,216,Other,500,Delivery,Banashankari,Cafe,Cafe,4
Yes,No,4.0,324,Banashankari,700,Delivery,Banashankari,Cafe,Cafe,3
Yes,No,2.6,231,Other,400,Delivery,Banashankari,Quick Bites,North Indian,5
Yes,No,3.4,102,Other,400,Delivery,Banashankari,Casual Dining,South Indian,4
Yes,No,3.9,133,Banashankari,800,Delivery,Banashankari,Cafe,Cafe,5
Yes,No,2.8,45,Banashankari,800,Delivery,Banashankari,Casual Dining,Other,3
Yes,No,3.9,149,Other,300,Delivery,Banashankari,Quick Bites,Fast Food,3
Yes,No,3.8,75,Banashankari,200,Delivery,Banashankari,Quick Bites,Fast Food,2
Yes,No,4.0,53,Other,600,Delivery,Banashankari,Delivery,Other,2
Yes,Yes,4.2,815,Jayanagar,900,Delivery,Banashankari,Casual Dining,North Indian,2
Yes,Yes,4.0,633,Banashankari,800,Delivery,Banashankari,Casual Dining,North Indian,2
Yes,No,3.0,56,Jayanagar,400,Delivery,Banashankari,Dessert Parlor,Ice Cream,3
Yes,No,3.0,82,Banashankari,300,Delivery,Banashankari,Quick Bites,South Indian,4
Yes,No,3.7,35,Jayanagar,200,Delivery,Banashankari,Quick Bites,Fast Food,1
Yes,No,3.6,20,Other,150,Delivery,Banashankari,Quick Bites,Other,2
Yes,No,3.1,14,Other,250,Delivery,Banashankari,Quick Bites,South Indian,3
Yes,No,3.9,70,Banashankari,400,Delivery,Banashankari,Dessert Parlor,Fast Food,3
Yes,No,3.9,91,Jayanagar,300,Delivery,Banashankari,Cafe,Cafe,3
Yes,No,3.6,45,Jayanagar,200,Delivery,Banashankari,Quick Bites,Biryani,1
Yes,No,3.4,7,Banashankari,250,Delivery,Banashankari,Quick Bites,North Indian,2
Yes,No,3.8,28,Banashankari,150,Delivery,Banashankari,Quick Bites,Fast Food,1
Yes,No,3.6,24,Banashankari,600,Delivery,Banashankari,Casual Dining,North Indian,2
Yes,No,3.8,36,Other,200,Delivery,Banashankari,Dessert Parlor,Desserts,2
Yes,No,3.0,11,Jayanagar,200,Delivery,Banashankari,Quick Bites,Fast Food,1
Yes,No,3.8,77,Other,650,Delivery,Banashankari,Cafe,Cafe,3
Yes,No,3.2,8,Banashankari,100,Delivery,Banashankari,Other,Other,2
Yes,No,3.7,14,Jayanagar,100,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.8,210,Other,600,Delivery,Banashankari,Casual Dining,North Indian,3
Yes,No,4.1,130,Jayanagar,650,Delivery,Banashankari,Cafe,Cafe,3
Yes,No,4.1,30,Jayanagar,100,Delivery,Banashankari,Beverage Shop,Beverages,2
Yes,No,3.8,144,Banashankari,700,Delivery,Banashankari,Cafe,Chinese,3
Yes,No,3.4,11,Other,800,Delivery,Banashankari,Bar,North Indian,3
Yes,No,3.7,133,Jayanagar,700,Delivery,Banashankari,Casual Dining,Chinese,4
Yes,No,4.0,136,Jayanagar,350,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,No,3.1,4,Other,200,Delivery,Banashankari,Quick Bites,South Indian,3
Yes,No,3.0,11,Other,200,Delivery,Banashankari,Other,Other,4
Yes,No,3.8,74,Other,300,Delivery,Banashankari,Quick Bites,South Indian,3
Yes,No,3.7,30,Other,300,Delivery,Banashankari,Quick Bites,South Indian,3
Yes,No,3.0,7,Other,200,Delivery,Banashankari,Quick Bites,South Indian,2
Yes,No,3.8,75,Banashankari,200,Delivery,Banashankari,Cafe,Cafe,2
Yes,No,3.7,54,Other,600,Delivery,Banashankari,Cafe,Cafe,2
Yes,No,3.6,23,Other,100,Delivery,Banashankari,Other,Beverages,2
Yes,No,3.2,119,Banashankari,400,Delivery,Banashankari,Casual Dining,North Indian,2
Yes,No,3.7,73,Banashankari,400,Delivery,Banashankari,Quick Bites,Biryani,2
Yes,No,3.4,58,Other,400,Delivery,Banashankari,Cafe,Cafe,2
Yes,No,3.6,129,Banashankari,600,Delivery,Banashankari,Casual Dining,Other,3
Yes,No,3.6,24,Banashankari,250,Delivery,Banashankari,Quick Bites,Biryani,3
Yes,No,3.0,175,Other,400,Delivery,Banashankari,Quick Bites,Chinese,2
Yes,No,3.7,21,Other,300,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.0,41,Other,400,Delivery,Banashankari,Other,Other,3
Yes,No,3.6,35,Jayanagar,300,Delivery,Banashankari,Quick Bites,Other,2
Yes,No,4.1,176,Other,800,Delivery,Banashankari,Casual Dining,Andhra,3
Yes,No,3.0,45,Banashankari,300,Delivery,Banashankari,Beverage Shop,Beverages,3
Yes,No,3.7,47,Jayanagar,400,Delivery,Banashankari,Quick Bites,Fast Food,3
Yes,Yes,3.7,36,Jayanagar,650,Delivery,Banashankari,Casual Dining,Chinese,4
Yes,No,3.8,52,Other,400,Delivery,Banashankari,Beverage Shop,Beverages,2
Yes,No,2.7,123,Banashankari,200,Delivery,Banashankari,Quick Bites,Fast Food,1
Yes,No,3.6,59,Other,700,Delivery,Banashankari,Casual Dining,North Indian,1
Yes,No,3.2,4,Other,300,Delivery,Banashankari,Quick Bites,South Indian,2
